,Price,Year of Production,Case Material,Brace Material,Condition
47338,"$17,800",2015,Steel,Steel,Very good
47339,"$16,553",2023,Steel,Steel,New
47340,"$16,553",2023,Steel,Steel,Unworn
47341,"$16,553",2023,Steel,Steel,New
47342,"$21,724",2022,Steel,Steel,Unworn
47343,"$20,866",2020,Steel,Steel,Very good
47344,"$15,122",2023,Steel,Steel,New
47345,"$5,004",1956 ,Yellow gold,Yellow gold,Good
47346,"$20,979",2022,Gold/Steel,Gold/Steel,New
47347,"$11,850",2022,Steel,Steel,Unworn
47348,"$19,778",2020,Rose gold,Crocodile skin,Very good
47349,"$22,006",2016,Steel,Steel,Very good
47350,"$22,006",2020,Steel,Steel,Very good
47351,"$16,883",2022,Steel,Steel,New
47352,"$11,951",2023,Steel,Steel,Unworn
47353,"$16,949",2022,Steel,Steel,New
47354,"$18,927",2023,Steel,Steel,Unworn
47355,"$67,599",1963,Steel,Steel,Very good
47356,"$19,727",2022,Steel,Steel,New
47357,"$19,727",2018,Steel,Steel,Very good
47358,"$19,059",2023,Gold/Steel,Gold/Steel,Very good
47359,"$17,147",2023,Steel,Steel,New
47360,"$17,147",2023,Steel,Steel,New
47361,"$17,147",2023,Steel,Steel,New
47362,"$15,686",2022,Steel,Steel,New
47363,"$12,301",2023,Steel,Steel,Unworn
47364,"$12,978",1991,Yellow gold,Yellow gold,Very good
47365,"$112,852",2015,Platinum,Platinum,Very good
47366,"$26,295",2021,Steel,Steel,Very good
47367,"$38,370",2022,Steel,Steel,Very good
47368,"$29,342",2023,Steel,Steel,Very good
47369,"$45,141",2023,Yellow gold,Rubber,Very good
47370,"$19,448",2023,Gold/Steel,Gold/Steel,New
47371,"$16,025",2023,Steel,Steel,New
47372,"$20,438",1990,Yellow gold,Yellow gold,Very good
47373,"$17,543",2022,Steel,Steel,New
47374,"$13,644",2023,White gold,Steel,Unworn
47375,"$13,644",2022,Steel,Steel,Very good
47376,"$17,154",2022,Steel,Steel,New
47377,"$18,730",2022,Steel,Steel,New
47378,"$18,730",2022,Steel,Steel,New
47379,"$21,419",1964,Yellow gold,Yellow gold,Very good
47380,"$18,796",2022,Gold/Steel,Gold/Steel,New
47381,"$21,757",1993,Yellow gold,Yellow gold,Very good
47382,"$21,757",1995,White gold,White gold,Very good
47383,"$18,862",2023,Steel,Steel,New
47384,"$18,862",2021,Steel,Steel,New
47385,"$13,994",2022,Steel,Steel,Unworn
47386,"$17,492",2023,Steel,Steel,New
47387,Price on request,1988,Yellow gold,Yellow gold,Very good
47388,"$7,335",2000,Steel,Steel,Very good
47389,"$14,107",2022,Steel,Steel,Unworn
47390,"$14,107",2022,Steel,Steel,Unworn
47391,"$14,107",2021,Steel,Steel,Very good
47392,"$19,125",2022,Steel,Steel,New
47393,"$19,125",2023,Steel,Steel,Unworn
47394,"$5,304",1988,Steel,Steel,Very good
47395,"$23,643",2002,Steel,Steel,Very good
47396,"$14,445",2022,Steel,Steel,Unworn
47397,"$19,389",2021,Gold/Steel,Gold/Steel,New
47398,"$19,785",2021,Steel,Steel,New
47399,"$19,785",2022,Steel,Steel,New
47400,"$19,785",2023,Steel,Steel,New
47401,"$28,701",2017 ,Steel,Steel,Unworn
47402,"$39,250",2010 ,White gold,White gold,Very good
47403,"$48,278",2023,White gold,White gold,Very good
47404,"$28,191",1999,Yellow gold,Yellow gold,Very good
47405,"$56,404",2009,Yellow gold,Yellow gold,Very good
47406,"$24,805",1972,Steel,Steel,Very good
47407,"$56,178",2007,White gold,White gold,Very good
47408,"$23,676",2000,Yellow gold,Yellow gold,Very good
47409,"$25,708",2000 ,Steel,Steel,Good
47410,"$38,347",2017,Yellow gold,Yellow gold,Very good
47411,"$19,917",2021,Gold/Steel,Gold/Steel,New
47412,"$14,998",2020,Steel,Steel,Very good
47413,"$18,508",2023,Steel,Steel,New
47414,"$20,049",2023,Gold/Steel,Gold/Steel,New
47415,"$20,049",2023,Gold/Steel,Gold/Steel,New
47416,"$15,111",2023,Steel,Steel,Unworn
47417,"$20,115",2022,Steel,Steel,New
47418,"$20,115",2022,Steel,Steel,New
47419,"$20,115",2022,Steel,Steel,New
47420,"$22,086",2023,Steel,Steel,Unworn
47421,"$27,638",2009,Steel,Steel,Good
47422,"$15,224",2023,White gold,Steel,Unworn
47423,"$15,224",2022,Steel,Gold/Steel,New
47424,"$15,235",2019,Gold/Steel,Gold/Steel,Very good
47425,"$15,235",2020,Steel,Steel,Very good
47426,"$15,235",2018,Steel,Steel,Very good
47427,"$20,180",2022,Gold/Steel,Gold/Steel,New
47428,"$20,180",2023,Steel,Steel,New
47429,"$18,734",2023,Steel,Steel,New
47430,"$20,312",2023,Steel,Steel,Unworn
47431,"$20,312",2023,Steel,Steel,New
47432,"$20,312",2023,Gold/Steel,Gold/Steel,New
47433,"$20,378",2023,Steel,Steel,Unworn
47434,"$15,574",2022,Steel,Steel,Unworn
47435,"$20,576",2023,Steel,Steel,Unworn
47436,"$9,892",2020,Steel,Steel,Very good
47437,"$16,589",2022,Steel,Steel,Unworn
47438,"$16,646",2023,Steel,Steel,Unworn
47439,"$9,935",1986,Steel,Steel,Fair
47440,"$16,804",2008,Gold/Steel,Gold/Steel,Very good
47441,"$16,815",2019,Gold/Steel,Gold/Steel,Very good
47442,"$16,815",2023,Steel,Steel,Unworn
47443,"$16,815",2023,Steel,Steel,Unworn
47444,"$16,815",2015,Steel,Steel,Very good
47445,"$11,864",2023,Gold/Steel,Gold/Steel,Unworn
47446,"$16,917",2016,Gold/Steel,Gold/Steel,Very good
47447,"$16,917",2022,Steel,Steel,Unworn
47448,"$19,072",2021,Gold/Steel,Gold/Steel,Very good
47449,"$10,486",2021,Steel,Steel,New
47450,"$15,748",2020 ,Gold/Steel,Steel,Very good
47451,"$5,248",1976 ,Gold/Steel,Gold/Steel,Very good
47452,"$17,142",2023,Steel,Steel,Unworn
47453,"$17,266",2023,Gold/Steel,Gold/Steel,Unworn
47454,"$17,266",2023,Steel,Steel,Unworn
47455,"$22,357",2021,Steel,Steel,New
47456,"$17,481",2022,Steel,Steel,Unworn
47457,"$22,555",2020,Steel,Steel,New
47458,"$10,892",2012,Steel,Steel,Good
47459,"$39,543",2014,Yellow gold,Yellow gold,Very good
47460,"$23,742",2023,Gold/Steel,Gold/Steel,New
47461,"$22,818",2021,Steel,Steel,Unworn
47462,"$145,089",2022,Platinum,Platinum,New
47463,"$34,030",2023,Steel,Steel,New
47464,"$32,968",2022,White gold,Rubber,New
47465,"$25,061",2021,Gold/Steel,Gold/Steel,New
47466,"$43,520",2021,Yellow gold,Yellow gold,New
47467,"$54,738",2021,White gold,White gold,New
47468,"$25,984",2021,Gold/Steel,Gold/Steel,New
47469,"$49,198",2023,Rose gold,Rose gold,New
47470,"$25,390",2022,Steel,Steel,New
47471,"$55,397",2021,Rose gold,Rose gold,New
47472,"$13,520",2023,Steel,Steel,New
47473,"$5,929",2008,Steel,Steel,Very good
47474,"$18,609",2023,Steel,Steel,Unworn
47475,"$18,609",2023,White gold,Steel,Unworn
47476,"$18,621",2023,Gold/Steel,Gold/Steel,Unworn
47477,"$18,621",2023,Gold/Steel,Gold/Steel,Unworn
47478,"$13,783",2023,Steel,Steel,New
47479,"$13,915",2023,Steel,Steel,Unworn
47480,"$22,345",2022,Steel,Steel,New
47481,"$19,072",2016,Steel,Steel,Very good
47482,"$19,072",2019,Steel,Steel,Unworn
47483,"$19,072",2023,Gold/Steel,Gold/Steel,Unworn
47484,"$19,072",2023,Steel,Steel,Unworn
47485,"$37,693",2023,Steel,Steel,New
47486,"$63,197",1991,Yellow gold,Yellow gold,Very good
47487,"$24,715",2005,Steel,Steel,New
47488,"$63,085",2023,Rose gold,Rose gold,New
47489,"$46,044",2020,White gold,White gold,Unworn
47490,"$24,602",2023,Gold/Steel,Gold/Steel,New
47491,"$33,291",2007,Steel,Steel,New
47492,"$36,000",2007,Steel,Steel,New
47493,"$40,288",2015,Steel,Steel,New
47494,"$27,367",2023,Gold/Steel,Gold/Steel,New
47495,"$27,875",2021,Steel,Steel,New
47496,"$6,588",2010,Steel,Steel,Very good
47497,"$19,174",2023,Gold/Steel,Gold/Steel,Unworn
47498,"$19,399",2023,Gold/Steel,Gold/Steel,New
47499,"$19,399",2023,Steel,Steel,New
47500,"$14,502",2023,Steel,Steel,New
47501,"$19,512",2023,Steel,Steel,Unworn
47502,"$19,512",2023,Gold/Steel,Gold/Steel,Unworn
47503,"$11,961",2021,Steel,Steel,Very good
47504,"$12,878",2002,Gold/Steel,Gold/Steel,Good
47505,"$19,636",2022,Gold/Steel,Gold/Steel,Unworn
47506,"$14,707",2022,Gold/Steel,Gold/Steel,Very good
47507,"$13,157",2015,Steel,Steel,New
47508,"$19,749",2018,Gold/Steel,Gold/Steel,Very good
47509,"$14,839",2023,Steel,Steel,New
47510,"$7,248",1987,Gold/Steel,Gold/Steel,Very good
47511,"$12,414",2022,Steel,Steel,New
47512,"$20,088",2022,Gold/Steel,Gold/Steel,Unworn
47513,"$15,168",2022,Steel,Gold/Steel,New
47514,"$123,009",2020,Platinum,Platinum,Very good
47515,"$24,715",2023,Gold/Steel,Gold/Steel,New
47516,"$24,263",2012,Steel,Steel,Very good
47517,"$106,420",2021,Yellow gold,Yellow gold,Unworn
47518,"$23,699",2022,Steel,Steel,Unworn
47519,"$51,799",2023,Yellow gold,Yellow gold,Unworn
47520,"$52,476",2021,Rose gold,Rubber,Very good
47521,"$37,569",2022,Steel,Steel,Unworn
47522,"$24,252",2022,Steel,Steel,Very good
47523,"$49,192",2023,Rose gold,Rose gold,Unworn
47524,"$25,843",2023,Gold/Steel,Gold/Steel,Unworn
47525,"$37,128",1982 ,Steel,Steel,Very good
47526,"$54,169",2023,Yellow gold,Yellow gold,Unworn
47527,"$33,743",2020,Gold/Steel,Gold/Steel,Very good
47528,"$55,185",2023,Yellow gold,Yellow gold,Unworn
47529,"$23,586",2021,Steel,Steel,Unworn
47530,"$25,618",2023,Steel,Steel,Unworn
47531,"$18,070",2023,Steel,Steel,Unworn
47532,"$59,500",2022,White gold,White gold,Very good
47533,"$17,806",2023,Steel,Gold/Steel,New
47534,"$17,806",2022,Steel,Steel,New
47535,"$17,872",2023,Gold/Steel,Gold/Steel,New
47536,"$16,364",2016,Steel,Steel,Unworn
47537,"$10,486",2022,Steel,Steel,Unworn
47538,"$18,136",2023,Gold/Steel,Gold/Steel,Very good
47539,"$11,229",2011,Steel,Steel,Very good
47540,"$10,946",2022,Steel,Steel,New
47541,"$16,928",1990,Steel,Steel,Very good
47542,"$11,567",2006,Steel,Steel,Very good
47543,"$11,567",2008,Steel,Steel,Very good
47544,"$11,205",2019,Steel,Steel,Very good
47545,"$11,205",2022,Steel,Steel,Very good
47546,"$11,205",2008,Gold/Steel,Gold/Steel,Very good
47547,"$11,205",2014,Steel,Steel,Very good
47548,"$23,151",2017,Steel,Steel,Very good
47549,"$26,972",1991,Yellow gold,Yellow gold,Very good
47550,"$49,091",2015,Rose gold,Rose gold,Unworn
47551,"$35,549",2009,White gold,White gold,Good
47552,"$17,515",1987,Steel,Steel,Good
47553,"$19,739",2023,Gold/Steel,Gold/Steel,New
47554,"$14,502",2017,Steel,Steel,Very good
47555,"$21,763",2023,Steel,Steel,Unworn
47556,"$3,555",1965 ,Steel,Leather,Good
47557,"$7,730",2018,Steel,Steel,Very good
47558,"$7,730",2003,Steel,Steel,Very good
47559,"$17,718",1997,Steel,Steel,Very good
47560,"$20,238",2017,Steel,Steel,Very good
47561,"$14,502",2022,Steel,Steel,Very good
47562,"$14,953",2020,Steel,Steel,Very good
47563,"$79,139",2021,Rose gold,Rose gold,Very good
47564,"$58,035",2022,Rose gold,Rose gold,Unworn
47565,"$23,669",2023,Steel,Steel,New
47566,"$59,167",2020,Rose gold,Rose gold,Very good
47567,"$23,082",2017,Steel,Steel,Very good
47568,"$87,053",2023,Rose gold,Rose gold,Unworn
47569,"$59,354",2022 ,White gold,White gold,Very good
47570,"$3,825",1982 ,Steel,Steel,Very good
47571,"$10,000",2022 ,Steel,Steel,New
47572,"$3,891",1980 ,Yellow gold,Yellow gold,Good
47573,"$22,357",2023,Steel,Steel,Unworn
47574,"$3,956",2003,Gold/Steel,Gold/Steel,Good
47575,"$15,224",2021,Steel,Steel,Very good
47576,"$44,186",2018,Yellow gold,Yellow gold,Very good
47577,"$24,863",2023,Gold/Steel,Gold/Steel,New
47578,"$23,016",2023,Gold/Steel,Gold/Steel,Unworn
47579,"$34,228",2023,Rose gold,Rubber,Unworn
47580,"$25,054",2023,Steel,Steel,New
47581,"$22,753",2023,Steel,Steel,Unworn
47582,"$32,909",2023,Steel,Steel,New
47583,"$58,695",2023,Rose gold,Rose gold,New
47584,"$43,856",2023,White gold,Rubber,Very good
47585,"$29,611",1999,Steel,Steel,Fair
47586,"$27,039",2020,Steel,Steel,Unworn
47587,"$23,412",2022,Steel,Steel,New
47588,"$57,969",2023,Rose gold,Rose gold,New
47589,"$51,434",2023,Yellow gold,Yellow gold,Unworn
47590,"$46,158",2023,White gold,Rubber,New
47591,"$23,016",2023,Gold/Steel,Gold/Steel,Unworn
47592,"$27,369",2022,Steel,Steel,New
47593,"$35,606",2022,Steel,Steel,New
47594,"$26,709",2022,Steel,Steel,New
47595,"$47,477",2023,Rose gold,Rubber,New
47596,"$52,957",2023,White gold,White gold,Good
47597,"$4,395",1995 ,Gold/Steel,Gold/Steel,Good
47598,"$15,404",2020,Steel,Steel,Very good
47599,"$20,974",2014,Gold/Steel,Gold/Steel,Very good
47600,"$52,986",1991,Yellow gold,Yellow gold,Very good
47601,"$8,915",2023,Steel,Steel,New
47602,"$6,207",1970 ,Steel,Steel,Very good
47603,"$6,207",1970,Steel,Calf skin,Very good
47604,"$9,367",2023,Steel,Steel,Unworn
47605,"$17,140",2020,Gold/Steel,Gold/Steel,Very good
47606,"$17,140",2020,Steel,Steel,Very good
47607,"$17,140",2023,Steel,Steel,Unworn
47608,"$6,595",1997,Gold/Steel,Gold/Steel,Good
47609,"$6,456",2015 ,Steel,Steel,Very good
47610,"$10,044",2023,Steel,Steel,Unworn
47611,Price on request,2023,Steel,Steel,Unworn
47612,Price on request,2022,Steel,Steel,Unworn
47613,Price on request,2022,Steel,Steel,New
47614,Price on request,2023,Gold/Steel,Steel,Unworn
47615,Price on request,2023,Steel,Steel,Unworn
47616,Price on request,2023,Steel,Steel,Unworn
47617,Price on request,2021,Steel,Steel,Unworn
47618,Price on request,2019,Steel,Steel,Very good
47619,Price on request,2023,Gold/Steel,Gold/Steel,Unworn
47620,Price on request,2021,Steel,Steel,Unworn
47621,Price on request,2023,Steel,Steel,Unworn
47622,Price on request,2022,Rose gold,Rose gold,Unworn
47623,Price on request,2022,Platinum,Platinum,New
47624,Price on request,2023,Gold/Steel,Gold/Steel,Unworn
47625,Price on request,2023,Titanium,Titanium,Unworn
47626,Price on request,2021,Rose gold,Rubber,New
47627,Price on request,2023,Gold/Steel,Gold/Steel,Unworn
47628,Price on request,2022,Steel,Steel,Unworn
47629,Price on request,2023,Gold/Steel,Gold/Steel,Unworn
47630,Price on request,2023,Yellow gold,Yellow gold,Unworn
47631,Price on request,2022,Steel,Steel,Unworn
47632,"$6,769",2011 ,Steel,Steel,Very good
47633,"$6,995",2022,Steel,Steel,Very good
47634,"$10,856",2022,Steel,Steel,Very good
47635,"$11,951",1971,Steel,Steel,Very good
47636,"$19,693",2007,Gold/Steel,Gold/Steel,Very good
47637,"$14,499",2022,Steel,Steel,New
47638,"$8,480",2015,Steel,Steel,Very good
47639,"$7,776",2009,Steel,Steel,Very good
47640,"$8,573",2023,Steel,Steel,Unworn
47641,"$7,888",2018,Steel,Steel,Very good
47642,"$8,631",2016,Steel,Steel,Fair
47643,"$8,795",2013,Steel,Steel,Very good
47644,"$11,850",2023,Steel,Steel,Unworn
47645,"$8,046",2022,Steel,Steel,Unworn
47646,"$8,791",2022 ,Steel,Steel,Very good
47647,"$8,793",2014 ,Steel,Steel,Very good
47648,"$11,511",2023,Steel,Steel,New
47649,"$11,511",2022,Steel,Steel,New
47650,"$11,511",2023,Steel,Steel,New
47651,"$8,995",2017,Steel,Steel,Very good
47652,"$8,914",2020,Steel,Steel,Very good
47653,"$8,915",2011,Steel,Steel,Good
47654,"$19,778",2023,Steel,Steel,New
47655,"$19,778",2023,Steel,Steel,New
47656,"$9,027",2021,Steel,Steel,Very good
47657,"$20,257",2020,Steel,Steel,Very good
47658,"$9,243",2022,Steel,Steel,Unworn
47659,"$11,962",2023,Steel,Steel,New
47660,"$12,075",2023,Steel,Steel,New
47661,"$12,075",2023,Steel,Steel,Unworn
47662,"$20,596",2019,Gold/Steel,Gold/Steel,Very good
47663,"$9,581",2021,Steel,Steel,Unworn
47664,"$12,301",2023,Steel,Steel,New
47665,"$9,591",2022,Steel,Steel,Unworn
47666,"$9,592",2023,Steel,Steel,Unworn
47667,"$20,866",2020,Steel,Steel,Good
47668,"$18,000",2020,Gold/Steel,Gold/Steel,New
47669,"$9,705",1968,Steel,Steel,Good
47670,"$9,762",2015,Steel,Steel,Very good
47671,"$9,818",1988,Steel,Steel,Very good
47672,"$12,639",2023,Steel,Steel,New
47673,"$9,931",2016,Steel,Steel,Very good
47674,"$14,107",2001,Steel,Steel,Very good
47675,"$10,005",2022 ,Steel,Steel,Unworn
47676,"$18,339",2021,Steel,Steel,New
47677,"$10,090",2022,Steel,Steel,Very good
47678,"$10,157",1999,Steel,Steel,Very good
47679,"$11,613",2021,Gold/Steel,Gold/Steel,Very good
47680,"$11,350",2012,Steel,Steel,Very good
47681,"$19,975",2023,Steel,Steel,New
47682,"$11,694",1967,Yellow gold,Crocodile skin,Very good
47683,"$14,445",2022,Steel,Steel,New
47684,"$27,033",2023,Gold/Steel,Gold/Steel,New
47685,"$92,322",2023,Yellow gold,Yellow gold,Very good
47686,"$27,692",2009,Steel,Steel,Good
47687,"$131,892",2022,Platinum,Platinum,Unworn
47688,"$23,082",2022,Steel,Steel,Very good
47689,"$50,115",2022,White gold,White gold,New
47690,"$24,395",2023,Gold/Steel,Gold/Steel,New
47691,"$26,373",2012,Gold/Steel,Gold/Steel,Very good
47692,"$23,603",2023,Steel,Steel,Unworn
47693,"$44,839",2021,Rose gold,Rose gold,Very good
47694,"$59,348",2022,Yellow gold,Yellow gold,Unworn
47695,"$39,563",2018,White gold,White gold,Very good
47696,"$36,925",2022,Steel,Steel,Very good
47697,"$23,214",2022,Steel,Steel,Very good
47698,"$44,179",2022,Yellow gold,Rubber,Very good
47699,"$43,520",2021,Yellow gold,Rubber,Very good
47700,"$42,201",2022,White gold,White gold,Very good
47701,"$50,774",2017,Rose gold,Rose gold,Very good
47702,"$92,322",2022,White gold,White gold,Very good
47703,"$46,158",2021,Rose gold,Rubber,Very good
47704,"$11,211",1995,Steel,Steel,Very good
47705,"$11,211",2006,Steel,Steel,Very good
47706,"$11,814",2005,Gold/Steel,Gold/Steel,Unworn
47707,"$11,850",1987,Steel,Steel,Good
47708,"$11,856",2021,Gold/Steel,Gold/Steel,Very good
47709,"$9,468",2010,Steel,Steel,Very good
47710,"$14,671",2023,Steel,Steel,New
47711,"$39,386",2010 ,White gold,White gold,Very good
47712,"$11,475",2023,Steel,Steel,Very good
47713,"$12,132",1995,Yellow gold,Yellow gold,Very good
47714,"$12,188",2022,Steel,Steel,Very good
47715,"$12,188",2022,Steel,Steel,Unworn
47716,"$20,737",2023,Gold/Steel,Gold/Steel,New
47717,"$12,414",2022,Gold/Steel,Gold/Steel,Unworn
47718,"$12,486",2011 ,Steel,Steel,Very good
47719,"$12,486",2017 ,Steel,Steel,Very good
47720,"$12,628",2021,Gold/Steel,Gold/Steel,Unworn
47721,"$12,690",2023,Steel,Steel,Unworn
47722,"$12,696",2018 ,Steel,Steel,Very good
47723,"$10,270",2022,Steel,Steel,Very good
47724,"$15,461",2023,White gold,Steel,New
47725,"$12,794",2012,Steel,Steel,Fair
47726,"$15,574",2023,White gold,Steel,New
47727,"$14,295",2019,Gold/Steel,Gold/Steel,Very good
47728,"$13,717",2021,Steel,Steel,Very good
47729,"$17,154",2023,Gold/Steel,Steel,New
47730,"$14,502",2023,White gold,Steel,Unworn
47731,"$14,509",2023,Steel,Steel,Unworn
47732,"$13,915",2022,Steel,Steel,Very good
47733,"$14,614",2023,Steel,Steel,Unworn
47734,"$17,379",2023,Steel,Steel,New
47735,"$14,671",2021,Steel,Steel,Very good
47736,"$18,271",2023,White gold,Steel,Unworn
47737,"$14,765",2019,Steel,Steel,Very good
47738,"$14,839",2023,Steel,Gold/Steel,Unworn
47739,"$18,384",2023,Steel,Steel,Unworn
47740,"$18,384",2023,White gold,Steel,Unworn
47741,"$14,850",2021,White gold,Steel,Very good
47742,"$17,605",2023,Steel,Steel,New
47743,"$14,321",2021,Steel,Steel,Unworn
47744,"$17,944",2022,Steel,Steel,New
47745,Price on request,2004,Steel,Steel,Unworn
47746,Price on request,2015,White gold,White gold,Very good
47747,Price on request,2023,Rose gold,Rose gold,Very good
47748,Price on request,2003,Steel,Steel,Very good
47749,"$15,382",2019,Gold/Steel,Gold/Steel,Good
47750,"$14,648",2020,Steel,Steel,Very good
47751,"$14,839",2020,Steel,Steel,New
47752,"$8,500",2021,Steel,Steel,New
47753,"$14,872",2018,Steel,Steel,Very good
47754,"$14,905",2023,Steel,Steel,Unworn
47755,"$17,147",2023,Gold/Steel,Gold/Steel,Unworn
47756,"$16,553",2023,Steel,Steel,Unworn
47757,"$16,800",2023,Gold/Steel,Gold/Steel,Unworn
47758,"$14,784",2022,Steel,Steel,Very good
47759,"$4,852",1986,Steel,Gold/Steel,Very good
47760,"$4,852",1986,Steel,Gold/Steel,Very good
47761,"$4,852",1997,Steel,Gold/Steel,Very good
47762,"$20,866",2023,Steel,Steel,Unworn
47763,"$14,897",2008,Steel,Steel,Very good
47764,"$14,897",2022,Gold/Steel,Gold/Steel,Very good
47765,"$20,088",2023,Steel,Steel,New
47766,"$4,964",1998,Steel,Steel,Very good
47767,"$4,964",1997,Steel,Steel,Very good
47768,"$4,964",2000,Steel,Steel,Very good
47769,"$7,334",1995 ,Steel,Steel,Very good
47770,"$17,482",1993,Steel,Steel,Good
47771,"$17,492",2022,Gold/Steel,Gold/Steel,Unworn
47772,"$10,500",2022,Steel,Steel,Unworn
47773,"$5,077",2003,Steel,Steel,Very good
47774,"$5,077",1971,Steel,Leather,Very good
47775,"$9,875",2004 ,Gold/Steel,Steel,Good
47776,"$17,659",1978,Steel,Steel,Very good
47777,"$21,205",2023,Steel,Gold/Steel,Unworn
47778,Price on request,1958,Steel,Steel,Very good
47779,"$17,717",2022,Steel,Steel,Unworn
47780,"$5,303",1977,Gold/Steel,Leather,Very good
47781,"$5,303",1973,Gold/Steel,Leather,Very good
47782,"$17,147",2020,Gold/Steel,Steel,Very good
47783,"$5,416",1969,Steel,Steel,Very good
47784,"$5,416",1961,Steel,Steel,Very good
47785,"$5,416",1970,Steel,Steel,Very good
47786,"$17,887",2021,Steel,Steel,Good
47787,"$5,533",1958,Steel,Steel,Good
47788,"$5,540",1955,Steel,Steel,Good
47789,"$17,345",2023,Steel,Steel,Very good
47790,"$18,000",2020,Gold/Steel,Gold/Steel,Very good
47791,"$17,411",2021,Gold/Steel,Gold/Steel,Very good
47792,"$20,765",2023,Gold/Steel,Gold/Steel,New
47793,"$18,056",2016,Gold/Steel,Gold/Steel,Good
47794,"$17,411",2017,Steel,Steel,Good
47795,"$3,692",1975,Steel,Steel,Very good
47796,"$18,137",2010 ,Gold/Steel,Gold/Steel,Very good
47797,"$5,867",1994,Steel,Steel,Good
47798,"$5,867",2000,Steel,Steel,Good
47799,"$5,867",2002,Steel,Steel,Very good
47800,"$5,867",1997,Steel,Steel,Good
47801,"$5,867",2002,Steel,Steel,Good
47802,"$17,674",2023,Steel,Steel,Very good
47803,"$25,392",2018,Gold/Steel,Gold/Steel,Very good
47804,"$81,818",2005,White gold,Crocodile skin,Very good
47805,"$23,135",2019,Steel,Steel,Very good
47806,"$5,980",1986,Gold/Steel,Gold/Steel,Very good
47807,"$21,995",2023,Gold/Steel,Gold/Steel,Unworn
47808,"$6,996",1990,Steel,Steel,Very good
47809,"$6,996",1997,Steel,Steel,Very good
47810,"$6,996",1994,Steel,Steel,Very good
47811,"$6,996",1994,Steel,Steel,Very good
47812,"$6,996",2003,Steel,Steel,Very good
47813,"$19,467",2020,Gold/Steel,Gold/Steel,Unworn
47814,"$19,483",2018,Gold/Steel,Gold/Steel,Very good
47815,"$19,490",2009,Steel,Steel,Very good
47816,"$19,523",2022,Steel,Steel,Unworn
47817,"$7,109",2003,Steel,Steel,Very good
47818,"$7,221",1997,Gold/Steel,Gold/Steel,Very good
47819,"$5,275",1963,Yellow gold,Leather,Good
47820,"$19,125",2011,Steel,Steel,New
47821,"$19,744",2022,Steel,Steel,Unworn
47822,"$7,334",2001,Steel,Steel,Very good
47823,"$7,334",1985,Gold/Steel,Gold/Steel,Very good
47824,"$24,602",2023,Gold/Steel,Gold/Steel,New
47825,"$23,699",2023,Steel,Steel,New
47826,"$46,270",2022,Rose gold,Rose gold,Unworn
47827,"$26,520",2023,Gold/Steel,Gold/Steel,New
47828,"$7,447",1997,Steel,Steel,Very good
47829,"$19,257",2023,Steel,Steel,Unworn
47830,"$19,450",2005,Gold/Steel,Gold/Steel,Very good
47831,"$19,974",2022 ,Gold/Steel,Gold/Steel,Good
47832,"$7,617",1999,Gold/Steel,Gold/Steel,Very good
47833,"$7,560",2003,Steel,Steel,Very good
47834,"$13,000",2022,Gold/Steel,Steel,Unworn
47835,"$7,673",1997,Steel,Gold/Steel,Very good
47836,"$7,673",1997,Steel,Gold/Steel,Very good
47837,"$20,302",2022,Steel,Steel,Unworn
47838,"$19,653",2023,Steel,Steel,Good
47839,"$20,313",2023,Steel,Steel,Unworn
47840,"$5,934",1988,Gold/Steel,Gold/Steel,Very good
47841,"$7,899",2003,Steel,Steel,Very good
47842,"$7,899",2002,Steel,Steel,Very good
47843,"$8,011",2002,Steel,Steel,Very good
47844,"$8,011",2004,Steel,Steel,Very good
47845,"$8,011",1994,Steel,Gold/Steel,Very good
47846,"$20,495",2022,Steel,Steel,Unworn
47847,"$20,539",2021,Steel,Steel,Very good
47848,"$11,250",2022,Steel,Steel,Unworn
47849,"$34,495",1991 ,Yellow gold,Yellow gold,Good
47850,"$46,795",2007,Yellow gold,Yellow gold,Very good
47851,"$26,750",2019 ,Rose gold,Rubber,Very good
47852,"$9,817",2003,Steel,Gold/Steel,Very good
47853,"$14,614",2011,Steel,Steel,Very good
47854,"$14,614",2015,Steel,Steel,Good
47855,"$27,085",2006,Steel,Steel,Very good
47856,"$31,599",2004,Steel,Steel,Unworn
47857,"$22,401",2012,Gold/Steel,Gold/Steel,Unworn
47858,"$11,450",2022,Steel,Steel,Unworn
47859,"$11,450",2022,Steel,Steel,Unworn
47860,"$11,450",2022,Steel,Steel,Unworn
47861,"$11,450",2022,Steel,Steel,Unworn
47862,"$11,450",2022,Steel,Steel,Unworn
47863,"$22,423",2015,Steel,Steel,Very good
47864,"$22,458",2019,Gold/Steel,Gold/Steel,Very good
47865,"$11,495",2022,Steel,Steel,Unworn
47866,"$15,400",2021,Steel,Steel,Unworn
47867,"$46,834",2014,Rose gold,Rose gold,Good
47868,"$50,156",2022,Rose gold,Rose gold,Very good
47869,"$23,034",1979,Steel,Steel,Very good
47870,"$22,570",2022,Steel,Steel,Unworn
47871,"$33,517",2022,Steel,Steel,Unworn
47872,"$179,543",2022,Platinum,Platinum,Unworn
47873,"$23,082",2023,Gold/Steel,Gold/Steel,Unworn
47874,"$27,085",2015,Gold/Steel,Gold/Steel,Unworn
47875,"$23,135",1972 ,Steel,Steel,Good
47876,"$33,498",2023,Rose gold,Rubber,Unworn
