,Year of Production,Case Material,Brace Material,Sex,Condition
161,2022,Steel,Steel,Men's watch/Unisex,Unworn
162,2021,Steel,Steel,Men's watch/Unisex,Unworn
163,2022,Gold/Steel,Calf skin,Men's watch/Unisex,Unworn
164,2007,Steel,Steel,Men's watch/Unisex,Very good
165,2007,Steel,Steel,Men's watch/Unisex,Very good
166,2022,Rose gold,Rose gold,Men's watch/Unisex,Unworn
167,2022,Steel,Steel,Men's watch/Unisex,Unworn
168,2022,Rose gold,Crocodile skin,Men's watch/Unisex,Unworn
169,2022,Steel,Steel,Men's watch/Unisex,Unworn
170,2022,Rose gold,Crocodile skin,Men's watch/Unisex,Unworn
171,2022,White gold,White gold,Men's watch/Unisex,Unworn
172,2022,Titanium,Titanium,Men's watch/Unisex,Unworn
173,2022,White gold,White gold,Men's watch/Unisex,Unworn
174,2022,Ceramic,Ceramic,Men's watch/Unisex,Unworn
175,2019,Titanium,Rubber,Men's watch/Unisex,Very good
176,2018,Titanium,Titanium,Men's watch/Unisex,Very good
177,2020,Titanium,Rubber,Men's watch/Unisex,Very good
178,2017,Rose gold,Rubber,Men's watch/Unisex,Very good
179,2018,Rose gold,Rose gold,Women's watch,Unworn
180,1999 ,Platinum,Platinum,Men's watch/Unisex,Very good
181,2005,Steel,Leather,Men's watch/Unisex,Very good
182,2007,Steel,Rubber,Men's watch/Unisex,Good
183,2022,Titanium,Rubber,Men's watch/Unisex,Unworn
184,2021,Ceramic,Ceramic,Men's watch/Unisex,Very good
185,2022,Steel,Steel,Women's watch,Unworn
186,2023,Steel,Rubber,Men's watch/Unisex,Unworn
187,2022,Steel,Rubber,Men's watch/Unisex,Unworn
188,2023,Steel,Rubber,Men's watch/Unisex,Unworn
189,2019,White gold,Crocodile skin,Men's watch/Unisex,Very good
190,2022,Steel,Rubber,Men's watch/Unisex,Unworn
191,2022,Steel,Rubber,Men's watch/Unisex,Unworn
192,2021,Steel,Steel,Men's watch/Unisex,Very good
193,2013,Rose gold,Crocodile skin,Men's watch/Unisex,Very good
194,2023,Steel,Rubber,Men's watch/Unisex,Unworn
195,2022,Ceramic,Rubber,Men's watch/Unisex,Unworn
196,2021,Steel,Steel,Men's watch/Unisex,Unworn
197,2017,Carbon,Rubber,Men's watch/Unisex,Very good
198,2010,Titanium,Titanium,Men's watch/Unisex,Very good
199,2021,Steel,Steel,Men's watch/Unisex,Unworn
200,2008,Steel,Leather,Men's watch/Unisex,Good
201,2009 ,Steel,Leather,Men's watch/Unisex,Very good
202,2018,Steel,Steel,Men's watch/Unisex,Very good
203,2017,Steel,Steel,Men's watch/Unisex,Very good
204,2022,Steel,Steel,Men's watch/Unisex,Unworn
205,2010,White gold,Leather,Men's watch/Unisex,Very good
206,2014,Steel,Steel,Men's watch/Unisex,Very good
207,2021,Steel,Steel,Men's watch/Unisex,Unworn
208,2019,Steel,Rubber,Women's watch,Very good
209,2000,Steel,Steel,Men's watch/Unisex,Very good
210,2007,Steel,Steel,Men's watch/Unisex,Very good
211,2012,Steel,Steel,Men's watch/Unisex,Very good
212,2023,Rose gold,Rose gold,Men's watch/Unisex,New
213,2021,Steel,Steel,Men's watch/Unisex,New
214,2019,Ceramic,Ceramic,Men's watch/Unisex,New
215,2022,Steel,Steel,Women's watch,New
216,2023,Steel,Steel,Women's watch,New
217,2022,Rose gold,Rose gold,Men's watch/Unisex,New
218,2014,Rose gold,Rubber,Men's watch/Unisex,Unworn
219,2008,Platinum,Leather,Men's watch/Unisex,Unworn
220,2022,Steel,Steel,Men's watch/Unisex,New
221,2022,Steel,Steel,Men's watch/Unisex,New
222,2018,Steel,Rubber,Men's watch/Unisex,Very good
223,2016,Carbon,Rubber,Men's watch/Unisex,Very good
224,2019,Ceramic,Ceramic,Men's watch/Unisex,Unworn
225,1980 ,Gold/Steel,Gold/Steel,Men's watch/Unisex,Very good
226,1990,Steel,Crocodile skin,Men's watch/Unisex,Very good
227,2000 ,Titanium,Titanium,Men's watch/Unisex,Very good
228,2022,Steel,Steel,Men's watch/Unisex,Unworn
229,2008,White gold,Crocodile skin,Men's watch/Unisex,Very good
230,2022,Steel,Steel,Men's watch/Unisex,New
231,2022,White gold,White gold,Men's watch/Unisex,New
232,2017,Rose gold,Rose gold,Men's watch/Unisex,Very good
233,2022,Titanium,Rubber,Men's watch/Unisex,Unworn
234,2022,Steel,Rubber,Men's watch/Unisex,Very good
235,2022,Rose gold,Rose gold,Women's watch,New
236,2022,Ceramic,Rubber,Men's watch/Unisex,Very good
237,2023,Rose gold,Rose gold,Men's watch/Unisex,New
238,2021,White gold,White gold,Men's watch/Unisex,Very good
239,2018,Titanium,Titanium,Men's watch/Unisex,Very good
240,2021,Rose gold,Rose gold,Men's watch/Unisex,New
241,2021,Steel,Steel,Men's watch/Unisex,New
242,2022,Steel,Steel,Men's watch/Unisex,New
243,2022,Gold/Steel,Gold/Steel,Women's watch,New
244,2022,Rose gold,Crocodile skin,Men's watch/Unisex,New
245,2019,Yellow gold,Yellow gold,Men's watch/Unisex,New
246,1993,Steel,Yellow gold,Men's watch/Unisex,Very good
247,2017,Titanium,Titanium,Men's watch/Unisex,Very good
248,1980 ,Gold/Steel,Gold/Steel,Men's watch/Unisex,Very good
249,2003,Titanium,Leather,Men's watch/Unisex,Unworn
250,2020 ,Rose gold,Rose gold,Men's watch/Unisex,Very good
251,1970,Steel,Steel,Men's watch/Unisex,Good
252,2016,Rose gold,Rose gold,Men's watch/Unisex,Very good
253,2016,Steel,Steel,Men's watch/Unisex,Very good
254,2017,Steel,Rubber,Men's watch/Unisex,Very good
255,2016,Steel,Crocodile skin,Men's watch/Unisex,Very good
256,2011,Steel,Steel,Men's watch/Unisex,Very good
257,2019,Rose gold,Rose gold,Men's watch/Unisex,Very good
258,2022,White gold,Rubber,Men's watch/Unisex,Unworn
259,2020,White gold,Leather,Men's watch/Unisex,Very good
260,2019,Rose gold,Crocodile skin,Men's watch/Unisex,Very good
261,2020,Titanium,Rubber,Men's watch/Unisex,Very good
262,2019,Steel,Rubber,Men's watch/Unisex,Very good
263,2022 ,Steel,Rubber,Men's watch/Unisex,Very good
264,2019,White gold,White gold,Men's watch/Unisex,Very good
265,2022,Rose gold,Rose gold,Men's watch/Unisex,New
266,2016,Steel,Steel,Men's watch/Unisex,Very good
267,2009,Rose gold,Crocodile skin,Men's watch/Unisex,Very good
268,2014,Rose gold,Rose gold,Men's watch/Unisex,Very good
269,2012,Steel,Steel,Men's watch/Unisex,Very good
270,2020,Rose gold,Rose gold,Women's watch,Very good
271,2009 ,Steel,Leather,Women's watch,Unworn
272,2022,Steel,Steel,Women's watch,Unworn
273,2023,Steel,Steel,Men's watch/Unisex,Unworn
274,2022 ,Rose gold,Rose gold,Men's watch/Unisex,Unworn
275,2002,Yellow gold,Yellow gold,Men's watch/Unisex,Very good
276,2001,Steel,Steel,Men's watch/Unisex,Very good
277,2017,Steel,Steel,Men's watch/Unisex,Unworn
278,2000,Rose gold,Crocodile skin,Men's watch/Unisex,Very good
279,2007,Steel,Rubber,Men's watch/Unisex,Very good
280,1991,Gold/Steel,Gold/Steel,Men's watch/Unisex,Good
